256, 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,
512, 0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,15,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,
1024, 15,15,0,0,0,15,15,0,15,0,31,0,15,31,0,15,15,0,0,0,46,15,0,15,0,15,15,15,15,0,15,0,15,0,15,15,15,31,15,0,15,0,15,0,15,15,0,15,15,0,15,0,15,0,15,15,0,0,15,15,0,15,0,15,0,15,0,15,0,0,15,0,15,0,15,0,15,0,15,15,0,15,15,0,15,0,15,0,31,0,31,0,0,15,0,31,0,31,15,0,
2048, 31,31,31,31,46,31,31,31,31,15,31,31,28,19,31,31,31,15,31,15,31,31,31,31,15,31,31,15,31,31,31,31,15,31,31,15,31,31,31,31,15,31,31,15,31,31,31,15,31,31,15,31,31,31,15,31,31,15,31,31,31,15,31,31,15,31,31,15,31,31,15,31,31,24,14,31,15,31,31,15,15,31,15,31,31,15,31,31,15,31,31,15,31,15,15,31,15,39,16,31,
4096, 93,109,93,109,93,115,95,93,109,93,93,109,93,109,93,109,93,109,93,109,93,109,109,93,109,93,109,93,109,93,109,93,114,99,93,109,93,109,93,109,93,109,93,109,93,109,93,93,109,93,109,93,109,93,109,93,109,93,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,93,93,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,109,93,
8192, 406,421,406,406,406,406,406,406,406,406,406,412,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,421,406,410,406,406,406,406,406,406,406,406,406,406,403,408,401,402,409,406,401,406,406,406,406,406,406,406,413,406,406,421,406,406,406,406,421,406,406,406,406,406,421,406,406,406,406,406,406,421,406,406,406,406,406,421,406,406,406,406,406,406,406,406,406,406,406,406,
16384, 1656,1656,1656,1647,1656,1660,1648,1651,1656,1646,1656,1666,1640,1656,1656,1656,1656,1656,1656,1656,1656,1656,1662,1645,1656,1648,1653,1656,1662,1656,1640,1640,1656,1649,1656,1665,1640,1656,1648,1656,1656,1666,1640,1656,1662,1657,1656,1655,1656,1656,1643,1661,1656,1656,1656,1656,1656,1656,1656,1652,1660,1656,1656,1650,1737,1978,1711,1745,1941,1987,2015,1800,1784,1765,1753,1834,1843,1781,1848,1793,1778,1795,1777,1754,1773,1755,1730,1730,1732,1731,1721,1723,1749,1809,1819,1763,1770,1765,1775,1765,
32768, 7134,7271,7173,7150,6987,6966,7004,6960,7048,6976,7242,7230,7980,7468,7507,6672,6728,6661,6682,6687,6687,6672,6670,6833,6683,6702,6796,6892,6685,6836,6818,7218,7391,6669,6689,6678,6678,6673,6687,6682,6999,6875,6769,6991,6807,6818,6815,6980,6767,6846,6772,6806,6812,6822,6783,6812,6902,6835,6811,6677,6679,6734,6865,6837,6796,6668,6669,6791,6839,6748,6739,6828,6696,6671,6674,6669,6688,6674,6668,6835,6788,6897,6834,6835,6789,6786,6771,6812,6727,6921,6835,6796,6792,6875,6790,6884,6822,6754,6816,6727,
65536, 27278,27103,27303,27377,27427,27556,27238,27289,27268,28231,30079,27246,29329,27621,27551,29250,29549,27759,27059,27040,27034,27125,26756,27028,27220,27064,27093,26899,26986,27517,26835,26760,26756,26749,28540,27034,27293,27143,27538,27053,26752,26758,27284,26965,26783,27056,28604,28038,27849,27891,26769,26753,26758,26768,26763,26756,26791,26771,26838,26823,26758,26751,26769,26756,26771,26753,26757,26780,26744,26756,26780,26764,26759,26812,27591,28268,27254,27327,27672,27441,27231,27251,27404,27292,27063,27022,27067,27038,27073,27070,27060,27029,27112,27090,27097,27021,27046,27074,27032,27048,
